"CODE","KEY","TỈNH THÀNH","","NHIỄM HÔM NAY","NHIỄM SÁNG","NHIỄM TỐI","","ENGLISH","","TỈNH THÀNH BYT","","","NHIỄM HÔM NAY NHẬP CẢNH","MIỀN","","","","Hex","TỬ VONG THEO NGÀY 20","","","","","","1","2","3","4","","","","","","","","","Hex"
"41","12","Lai Châu","38","","","","38","Lai Chau","462600","Lai Châu","1","2","","Bắc","1","1","100","FFC4AA","","0","8","0","","1","21","17","0","0","0","0","0","0","1","1","0","2","E7E7E7"
"61","8","Tuyên Quang","694","","","","694","Tuyen Quang","786300","Tuyên Quang","2","","","Bắc","2","101","1000","FF8A66","","0","88","0","","1","","","","","25","25","24","1","3","2","3","19","ECE182"
"48","15","Yên Bái","230","","","","230","Yen Bai","823000","Yên Bái","2","","","Bắc","3","1001","10000","FF392B","","0","28","0","","","","","","","19","19","18","1","2","3","20","49","F9C467"
"60","vn-307","Bắc Kạn","27","","","","27","Bac Kan","314400","Bắc Kạn","1","2","","Bắc","4","10001","100000","B71525","","0","9","0","","","","","","","3","3","3","0","1","4","50","100","FD6A0B"
"9","22","Quảng Ninh","824","","","","824","Quang Ninh","1324800","Quảng Ninh","2","","","Bắc","5","100001","1000000","7A0826","","1","62","0","","1","","","","","12","12","13","-1","2","5","100","5000","8A1839"
"64","19","Thái Nguyên","799","","","","799","Thai Nguyen","1290900","Thái Nguyên","2","","","Bắc","","","","","","0","62","0","","1","","","","","39","39","37","2","3","","","",""
"18","36","Nam Định","1798","","","","1798","Nam Dinh","1780900","Nam Định","3","","","Bắc","","","","","","3","101","0","1","2","","","","","20","20","20","0","2","","","",""
"38","25","Phú Thọ","2149","","","","2149","Phu Tho","1466400","Phú Thọ","3","","","Bắc","","","","","","3","147","0","","2","","","","","20","20","22","-1","3","","","",""
"17","17","Hòa Bình","564","","","","564","Hoa Binh","855800","Hoà Bình","2","","","Bắc","","","","","","1","66","0","","1","","","","","21","21","25","-4","3","","","",""
"43","2","Hà Giang","4974","","","","4974","Ha Giang","858100","Hà Giang","3","","","Bắc","","","","","","6","580","1","","1","","","","","90","90","97","-7","4","","","",""
"57","62","Kon Tum","446","","","","446","Kon Tum","543400","Kon Tum","2","2","","Trung","","","","","","0","82","0","","1","","","","","10","10","12","-1","2","","","",""
"27","45","Quảng Trị","1094","","","","1094","Quang Tri","633400","Quảng Trị","3","","","Trung","","","","","","2","173","0","1","","","","","","21","21","19","1","3","","","",""
"32","31","Hải Phòng","1241","","","","1241","Hai Phong","2033300","Hải Phòng","3","","","Bắc","","","","","","0","61","0","","1","","","","","42","42","36","6","3","","","",""
"45","96","Cà Mau","12356","","","","12356","Ca Mau","1194300","Cà Mau","4","","","Nam","","","","","","55","1035","5","2","2","","","","","295","295","274","20","5","","","",""
"55","44","Quảng Bình","2707","","","","2707","Quang Binh","896600","Quảng Bình","3","","","Trung","","","","","","6","302","1","","","","","","","20","20","16","4","2","","","",""
